path,contentType,section,indexable,status,wordCount,ytdPageviews,impressions,clicks,jsonLdTypes,title
/bondi-blog,blog-index,blog,no,200,645,0,1,0,WebSite,Bondi Beach Local's Guide — Visit Bondi Beach
/bondi-blog/whale-watching-bondi-guide-2024,blog-post-legacy,blog,yes,200,616,0,4,0,WebSite|Article,Whale Watching at Bondi Guide (2024) — Visit Bondi Beach
/bondi-blog/2024/4/6/storm-chaos-forced-closures-around-bondi-beach,blog-post-dated,blog,yes,200,190,0,0,0,WebSite|Article,Storm chaos forces closures around Bondi Beach — Visit Bondi Beach
/bondi-blog/2024/2/12/an-insiders-guide-to-the-best-ice-cream-in-bondi,blog-post-dated,blog,yes,200,507,0,1,0,WebSite|Article,An Insider’s Guide To The Best Ice Cream In Bondi — Visit Bondi Beach
/bondi-blog/2024/2/9/sydneys-mystery-beach-at-mackenzies-bay,blog-post-dated,blog,yes,200,466,0,0,0,WebSite|Article,Sydney’s mystery beach at Mackenzie’s Bay — Visit Bondi Beach
/bondi-blog/2024/1/21/is-bondi-beach-a-safe-area-crime-rate,blog-post-dated,blog,yes,200,578,0,4,0,WebSite|Article,Is Bondi Beach a safe suburb? Crime rate and safety — Visit Bondi Beach
/bondi-blog/2024/1/25/can-you-see-dolphins-at-bondi-beach,blog-post-dated,blog,yes,200,213,0,2,0,WebSite|Article,Can you see dolphins at Bondi Beach? — Visit Bondi Beach
/bondi-blog/2024/1/20/is-bondi-beach-water-clean-or-polluted,blog-post-dated,blog,yes,200,222,0,1,0,WebSite|Article,How good is the water quality at Bondi Beach? — Visit Bondi Beach
/bondi-blog/2024/1/13/a-guide-to-australia-day-at-bondi-beach,blog-post-dated,blog,yes,200,612,0,0,0,WebSite|Article,A guide to Australia Day at Bondi Beach — Visit Bondi Beach
/bondi-blog/everything-to-know-bondi-salties-ocean-swimming,blog-post-legacy,blog,yes,200,499,0,7,0,WebSite|Article,The Bondi Salties: Ocean Swimming Guide
/bondi-blog/2024/1/7/sydneys-best-playground-in-the-heart-of-bondi,blog-post-dated,blog,yes,200,333,0,13,0,WebSite|Article,"Waverley Park Playground, Bondi: Family Guide"
/bondi-blog/2024/1/1/must-do-bondi-summer-activities-for-first-time-visitors,blog-post-dated,blog,yes,200,502,0,7,0,WebSite|Article,Must-Do Bondi Summer Activities
/bondi-blog/2023/11/9/2024-bondi-beach-event-calendar,blog-post-dated,blog,yes,200,198,0,0,0,WebSite|Article,2024 Bondi Beach Event Calendar — Visit Bondi Beach
/bondi-blog/2023/12/28/insiders-guide-to-new-years-day-at-bondi,blog-post-dated,blog,yes,200,502,0,0,0,WebSite|Article,Insider’s guide to New Year’s Day at Bondi — Visit Bondi Beach
/bondi-blog/2023/12/26/gwyneth-paltrows-bondi-recommendations-one-we-cant-agree-with,blog-post-dated,blog,yes,200,187,0,0,0,WebSite|Article,Gwyneth Paltrow’s Bondi Recommendations & One We Can’t Agree With — Visit Bondi Beach
/bondi-blog/2023/12/24/insiders-guide-to-new-years-eve-at-bondi-beach,blog-post-dated,blog,yes,200,922,0,0,0,WebSite|Article,An Insider’s Guide To New Year’s Eve In Bondi Beach — Visit Bondi Beach
/bondi-blog/2023/12/20/christmas-2024-bondi-weather-forecast,blog-post-dated,blog,yes,200,140,0,0,0,WebSite|Article,Christmas 2024 Bondi Beach Weather Forecast — Visit Bondi Beach
/bondi-blog/2023/12/10/from-the-mundane-to-the-outrageous-ranking-the-most-memorable-headline-grabbing-stories-from-bondi-local-loop,blog-post-dated,blog,yes,200,1524,0,0,0,WebSite|Article,Ranked 30-1: Bondi Local Loop’s biggest Headline Grabbing controversies of all time — Visit Bondi Beach
/bondi-blog/2023/10/18/bondi-beach-etiquette-guide,blog-post-dated,blog,yes,200,873,287,10,1,WebSite|Article,Bondi Beach Etiquette: The Local Rules
/bondi-blog/2023/11/17/a-parents-guide-to-bondi-beach-activities-eats-and-entertainment-for-kids,blog-post-dated,blog,yes,200,348,0,2,0,WebSite|Article,"A Parent’s Guide to Bondi Beach: Activities, Eats, and Entertainment for Kids — Visit Bondi Beach"
/bondi-blog/2023/11/20/an-insiders-guide-to-finding-a-car-park-at-bronte-beach,blog-post-dated,blog,yes,200,297,886,10,0,WebSite|Article,Bronte Beach Parking: An Insider's Guide
/bondi-blog/2023/11/16/hxnovb41qon8zebftsjodt0g8tvhde,blog-post-dated,blog,yes,200,510,0,3,0,WebSite|Article,Facts about Bondi Beach That Will Surprise You — Visit Bondi Beach
/bondi-blog/how-to-pronounce-bondi-beach,blog-post-legacy,blog,yes,200,50,0,28,0,WebSite|Article,How to Pronounce Bondi Beach
